,left_vel_set_point,left_vel,right_vel_set_point,right_vel,0
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.4586377143859863
2,,,,,2.985074520111084
3,,,,,2.595228672027588
0,,,,,2.985074520111084
1,,,,,2.7318196296691895
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.4586377143859863
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.526933193206787
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.595228672027588
0,,,,,2.985074520111084
1,,,,,2.526933193206787
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.595228672027588
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.595228672027588
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.595228672027588
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.8001151084899902
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.7318196296691895
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
3,,,,,2.6635241508483887
0,,,,,2.985074520111084
1,,,,,2.595228672027588
2,,,,,2.985074520111084
3,,,,,2.868410587310791
0,,,,,2.985074520111084
1,,,,,2.7318196296691895
2,,,,,2.985074520111084
3,,,,,2.7318196296691895
0,,,,,2.985074520111084
1,,,,,2.6635241508483887
2,,,,,2.985074520111084
